Feature,F_Score,P_Value
V258,71120.06571507889,0.0
V244,56158.05405177892,0.0
V246,54268.54481595367,0.0
V242,53734.38035812418,0.0
V243,52000.10882097122,0.0
V257,50459.31721299197,0.0
V187,48948.40866779435,0.0
V190,47312.28534078749,0.0
V199,44968.488119646514,0.0
V186,44738.06410554716,0.0
C7,40488.57800965643,0.0
C12,39787.0027792949,0.0
C4,39309.94644772438,0.0
V232,38482.9357030425,0.0
V230,37598.92391147887,0.0
V229,37134.15336677766,0.0
V218,36902.06700310149,0.0
V219,36637.66072456041,0.0
C8,36321.34842433288,0.0
V274,34807.8336188852,0.0
V231,33890.03376984355,0.0
V217,32985.01992435059,0.0
V228,31474.418803242825,0.0
V273,29334.382262126932,0.0
V264,28803.533400419976,0.0
C10,26768.427780721413,0.0
V178,26491.050929556663,0.0
V176,25673.106542065678,0.0
V45,24678.529611338152,0.0
V171,24584.614660939686,0.0
V263,24568.423134366898,0.0
V177,23991.755784032575,0.0
V168,23939.374618324753,0.0
V170,23516.502242626608,0.0
V167,23345.75586494852,0.0
V200,22574.304224267653,0.0
V212,21917.610774535176,0.0
V87,20200.29362878,0.0
V211,18973.73784146186,0.0
V203,17356.445669711113,0.0
card3,16713.107775666,0.0
V188,16234.863588210808,0.0
V222,15415.237706547532,0.0
V44,15274.099283937954,0.0
V202,15206.091871885588,0.0
ProductCD,14837.68612677955,0.0
V15,14425.659483342091,0.0
V38,13800.301682400399,0.0
V86,13769.516138899358,0.0
V39,13627.953996630473,0.0
V50,13175.940187814378,0.0
V80,12973.332809410753,0.0
V17,12800.12855445462,0.0
V37,12249.721022350976,0.0
V31,12220.126743329296,0.0
V302,11462.399522399903,0.0
V_Sum,11165.48164528,0.0
V236,10954.50393936185,0.0
M4,10108.796257272294,0.0
V77,10049.719673832109,0.0
V59,9789.703826122613,0.0
V78,9428.963881079237,0.0
V71,9350.082511414033,0.0
V221,9121.484439694734,0.0
V283,8481.66225678974,0.0
V277,8470.988768366424,0.0
V238,7816.737442154856,0.0
V184,7771.389106537745,0.0
V235,7467.146165542643,0.0
V185,6964.281751283437,0.0
V47,6894.572124811093,0.0
V90,6827.054444573863,0.0
V282,6783.1662780306315,0.0
V69,6776.74192996126,0.0
V29,6741.667481071809,0.0
V234,6613.271387819249,0.0
V101,6323.842639401686,0.0
V180,6075.736836333113,0.0
V276,6065.98896864822,0.0
card6,6021.444310371231,0.0
V103,5947.141220312368,0.0
V181,5570.726318230249,0.0
V294,5314.623656202584,0.0
V261,5314.306835004094,0.0
V48,5305.553237257402,0.0
V295,5285.913603174169,0.0
V123,5155.609829964816,0.0
V95,5110.545474043065,0.0
V23,4511.19009059653,0.0
V215,4462.194668875168,0.0
V46,4393.682060859108,0.0
V102,4368.9404415181425,0.0
V318,4316.928068065869,0.0
V10,4111.626911636947,0.0
V146,4103.728301504217,0.0
V262,4025.21990924829,0.0
V280,3976.2450148134158,0.0
V317,3941.705588032319,0.0
V292,3853.6112440934808,0.0
V214,3643.263652263114,0.0
V134,3554.0978378903465,0.0
D_Sum,3550.818072497164,0.0
V250,3549.4858254340907,0.0
V308,3485.726161470646,0.0
V132,3399.4577391856333,0.0
V97,3392.448731389673,0.0
V293,3331.3798808915376,0.0
V279,3310.0013562785653,0.0
V281,3269.7237787589443,0.0
D15,3245.268064540662,0.0
V125,3182.605286387823,0.0
V227,3122.293680238593,0.0
V224,3097.121999017764,0.0
V316,3073.726144196934,0.0
V133,3018.374476218484,0.0
D10,2964.2916994383004,0.0
D9,2867.8310441159006,0.0
V56,2824.4586734284526,0.0
M6,2754.1724523014364,0.0
D1,2678.5417062182532,0.0
V24,2621.3833973054134,0.0
V116,2616.09559775351,0.0
V270,2593.5939503743584,0.0
V306,2574.553910236016,0.0
D2,2496.984262598892,0.0
V139,2487.692378965272,0.0
V128,2486.557572571391,0.0
V290,2480.590295515228,0.0
V291,2350.161448409634,0.0
V225,2328.216160029357,0.0
V126,2289.9014542697355,0.0
V267,2225.464140231759,0.0
V124,2144.7596692250036,0.0
V268,2070.001326515415,0.0
D14,2049.8784507615414,0.0
V35,2014.7142640683305,0.0
V62,1982.6538833604563,0.0
V315,1919.6349672022484,0.0
V67,1898.4788359089796,0.0
V55,1882.2422204154855,0.0
D12,1868.388707412164,0.0
V307,1819.6344188990759,0.0
V259,1803.2756215810386,0.0
V83,1800.7384102989847,0.0
V226,1794.7869545248368,0.0
