Feature,Importance
V258,0.049714256887199264
C1,0.03369894118985769
V244,0.028541825901693737
V188,0.020313369457207953
V_Sum,0.019438400603131328
V242,0.01921504548924376
V190,0.01809009434589313
C12,0.017941298810456318
C4,0.01778175565561015
V45,0.01640688259716657
C7,0.01639150710749764
C8,0.01572717205870614
V200,0.015238120100964163
V246,0.0151921107792762
V187,0.013655772333038572
V243,0.013548952818359107
V87,0.012369983415461335
V199,0.012362662698948014
D_Sum,0.011483303028954844
V274,0.011325689546337937
Card_Combination,0.011294000813210183
TransactionID,0.010931325080839993
TransactionAmt_Log,0.010331026919693872
V186,0.010307105557937122
V257,0.00969015779185566
TransactionAmt,0.009503807317538238
card1,0.008887273547204793
card2,0.008285193636025338
C10,0.008137527675738608
V273,0.007909043174523355
V317,0.007727773230377652
V232,0.007663284073183114
V318,0.007472557239303801
Amount_Hour_Interaction,0.007450247123086284
V308,0.007429328070449297
D8,0.006839550182212146
V307,0.006502023261708289
V202,0.006221433915448125
TransactionAmt_Decimal,0.006061707720062196
V294,0.005985684097338315
V212,0.005968084626630955
V133,0.005833168242358313
V264,0.005803924806377742
D1,0.005532372499988411
V245,0.005459594985091397
V134,0.005394351655064165
V263,0.005313435555763301
V207,0.005193053154897305
D2,0.0051109506041145565
D15,0.005105129615803098
D4,0.005008324482398229
V310,0.004989770420865318
V259,0.004931720617052204
V280,0.004859152188805533
V283,0.0047741705535303365
V211,0.0047707728655731925
V295,0.004762164088850445
V306,0.004756919280332377
V228,0.00469132697920449
D10,0.004616507063220645
addr1,0.004540931628115533
V231,0.004533562458818727
V314,0.004532634249834125
V316,0.004491322457057204
TransactionDT_Hour,0.004471644911258172
V205,0.004283776366419515
V203,0.004279759218488538
V128,0.004179431355786931
V332,0.004104674780210572
P_emaildomain,0.004074418847358391
card5,0.00400918041571231
V315,0.003978215565096116
V152,0.003880624999411366
V218,0.003865432475856796
V230,0.003720961617429344
card3,0.0037094117532835923
V126,0.003680146127777673
V282,0.0036568745298409177
V285,0.003656791507771026
V178,0.0035929591932364058
V279,0.003544561046564785
D3,0.0035139912781362685
V219,0.003512001760879384
R_emaildomain,0.003465166189577199
V312,0.0034501930959110493
V171,0.003396935314646663
V229,0.0033522782333592705
V313,0.003334568755090946
V132,0.0032428162837626912
V44,0.0031751884593957695
V177,0.003131178272362278
V127,0.003065164347163764
TransactionDT_DayOfWeek,0.00302653633365412
card6,0.0030126495906717893
V168,0.002965010908940677
D5,0.002928200761669712
D9,0.0029087851049852415
D6,0.002890526058677137
V221,0.002874306448661198
V103,0.0028012862948525136
V101,0.0026532388810476064
V62,0.0026509086099058337
V54,0.002641107117860487
V322,0.0025675676004223253
V267,0.002563191384992119
V102,0.00248181252854856
ProductCD,0.00243305846766189
M4,0.0024204682997565094
V333,0.002416543117037385
V323,0.0024123033474734595
V277,0.0023810521310363274
V217,0.0023482698909793086
V38,0.0023450287251072415
V289,0.0023412595351284195
V170,0.00233935872188197
V96,0.002299587517526989
V331,0.00219091364854897
V59,0.0021684478127118566
V12,0.00216237922275612
V78,0.0021619653060405445
V208,0.002103493564361542
V139,0.0020995653243029923
V293,0.0020976126538904323
V61,0.002087991890617171
V288,0.0020663285560489604
V67,0.0020660015598444603
V15,0.0020198322192443996
V172,0.001998098362333223
V324,0.0019954144186174953
V167,0.001989770707102775
card4,0.0019462391238958135
V262,0.001933351599752913
V37,0.0019303735735277069
