Feature,Importance
TransactionAmt_Decimal,0.4234046
card1,0.36974984
TransactionID,0.36653093
Card_Combination,0.326679
card2,0.31315988
TransactionAmt_Log,0.3079076
D1,0.25816348
C1,0.22922483
D15,0.2280303
D10,0.2217605
D4,0.20254771
Amount_Hour_Interaction,0.19472629
D_Sum,0.18892355
V258,0.1800009
V294,0.1791969
D2,0.16438322
ProductCD,0.14216475
V_Sum,0.13104117
V310,0.113674246
TransactionAmt,0.090041354
card3,0.084911555
V308,0.08072689
C4,0.08035552
D8,0.074079216
V307,0.066716164
C10,0.063802674
M4,0.06067254
C12,0.050194908
V302,0.047107115
V317,0.03818559
V133,0.034815416
V306,0.033636708
V283,0.03333711
V187,0.031627573
V280,0.030293869
C8,0.028350718
V87,0.025001056
V38,0.019086543
V218,0.018208962
V200,0.016676873
V203,0.014586568
V45,0.014306627
V207,0.014266866
V50,0.013546597
V77,0.01348768
V264,0.012609535
V80,0.012079852
V274,0.011765854
V318,0.010745114
V134,0.010684236
V17,0.010607366
V222,0.010109212
V263,0.009460769
V44,0.008929481
V245,0.00851147
V37,0.008389321
V212,0.008198718
V257,0.008195963
V171,0.007972132
V295,0.007823005
V236,0.007756871
V229,0.007667097
C7,0.0073084505
V86,0.0071889586
V273,0.006698588
V217,0.006442078
V188,0.0053220023
V39,0.0051389695
V170,0.004698858
V244,0.004626435
V230,0.004466613
V31,0.0043889056
V202,0.0043022186
V199,0.004287283
V15,0.004161075
V243,0.003911341
V211,0.0029396105
V178,0.0027442558
V168,0.0026591255
V232,0.0026044552
V190,0.0023178873
V231,0.00226339
V219,0.0022481817
V176,0.0015667771
V259,0.0015559444
V167,0.0015290435
V186,0.0011605084
V228,0.0010110155
V246,0.0008729693
V177,0.0008094815
V242,0.0006624856
